Date,Open,High,Low,Close,Adj Close,Volume
2016-04-01,23.740000,24.330000,23.690001,23.950001,20.947046,2600
2016-04-04,23.799999,23.940001,22.959999,23.299999,20.378544,9800
2016-04-05,23.250000,23.620001,23.070000,23.520000,20.570961,4500
2016-04-06,23.180000,23.219999,22.469999,22.770000,20.102432,4600
2016-04-07,23.000000,23.160000,22.690001,22.910000,20.226030,1645400
2016-04-08,23.410000,24.049999,23.250000,23.799999,21.011763,3387700
2016-04-11,24.100000,24.180000,23.670000,24.000000,21.188334,100
2016-04-12,24.400000,25.010000,24.200001,25.000000,22.071182,2000
2016-04-13,25.549999,26.100000,24.809999,25.049999,22.115324,8100
2016-04-14,25.059999,25.129999,24.240000,24.469999,21.603273,2376900
2016-04-15,24.709999,25.180000,24.410000,24.969999,22.044697,3777600
2016-04-18,24.969999,25.490000,24.790001,25.360001,22.389008,6770200
2016-04-19,25.540001,25.980000,25.170000,25.780001,22.759804,700
2016-04-20,25.620001,25.889999,25.420000,25.620001,22.618547,3185900
2016-04-22,25.049999,25.600000,25.049999,25.500000,22.512606,1880400
2016-04-25,25.350000,25.799999,25.350000,25.680000,22.671518,2043100
2016-04-26,25.770000,25.990000,25.500000,25.820000,22.795116,2996000
2016-04-27,25.990000,26.400000,25.930000,26.350000,23.263027,3652600
2016-04-28,26.000000,26.709999,25.910000,26.510000,23.404282,2652200
2016-04-29,26.389999,26.620001,26.030001,26.400000,23.307167,2397200
2016-05-02,26.010000,26.330000,25.910000,26.180000,23.112944,1924000
2016-05-03,25.889999,26.360001,25.530001,26.250000,23.174740,2206900
2016-05-04,26.000000,26.420000,25.990000,26.320000,23.236538,4028300
2016-05-05,26.280001,26.639999,26.049999,26.330000,23.245371,1652500
2016-05-06,26.200001,26.520000,26.180000,26.500000,23.395452,1327500
2016-05-09,26.250000,26.549999,25.900000,26.000000,22.954031,2272700
2016-05-10,26.400000,26.840000,26.250000,26.840000,23.695621,2494700
2016-05-11,27.200001,27.200001,26.709999,26.959999,23.801561,3452800
2016-05-12,26.990000,27.730000,26.770000,27.730000,24.481356,3971600
2016-05-13,27.750000,27.750000,26.430000,26.889999,23.739763,2707400
2016-05-16,26.670000,26.980000,26.280001,26.750000,23.616167,2571200
2016-05-17,26.670000,27.120001,26.590000,26.799999,23.660309,5161100
2016-05-18,26.629999,26.830000,26.290001,26.570000,23.457251,2377000
2016-05-19,26.350000,26.600000,26.059999,26.540001,23.430767,997500
2016-05-20,26.430000,26.940001,26.430000,26.760000,23.624994,1909100
2016-05-23,26.400000,26.549999,25.920000,26.490000,23.386625,1394100
2016-05-24,26.540001,26.620001,25.959999,26.110001,23.051144,2717700
2016-05-25,26.240000,26.400000,25.889999,26.049999,22.998171,1775500
2016-05-27,26.290001,26.520000,25.959999,26.360001,23.271854,2602000
2016-05-30,26.150000,26.610001,26.070000,26.299999,23.218882,456100
2016-05-31,26.059999,26.350000,25.410000,25.590000,22.592060,2526700
2016-06-01,25.719999,26.209999,25.580000,26.190001,23.121771,2888000
2016-06-02,26.160000,26.389999,25.889999,25.980000,22.936371,1996900
2016-06-03,26.389999,26.809999,25.889999,26.809999,23.669134,3640200
2016-06-06,26.900000,27.240000,26.240000,26.379999,23.289511,2248600
2016-06-07,26.020000,26.860001,26.020000,26.680000,23.554365,1484900
2016-06-08,26.790001,28.070000,26.570000,27.820000,24.560812,3566500
2016-06-09,27.900000,28.330000,27.820000,28.250000,24.940437,3231700
2016-06-10,28.200001,28.200001,27.709999,27.900000,24.631439,4622600
2016-06-13,27.400000,28.770000,27.379999,28.660000,25.302404,2938100
2016-06-14,28.629999,28.870001,27.280001,27.660000,24.419554,1567200
2016-06-15,27.730000,28.209999,27.309999,27.940001,24.666754,1947100
2016-06-16,27.590000,28.410000,27.440001,28.400000,25.072865,2022000
2016-06-17,28.400000,28.549999,27.820000,27.840000,24.578468,3471000
2016-06-20,28.320000,28.389999,27.709999,27.820000,24.560812,1439800
2016-06-21,27.610001,28.180000,27.600000,28.139999,24.843321,1221100
2016-06-22,28.049999,28.520000,27.910000,28.180000,24.878637,3310100
2016-06-23,28.410000,28.760000,28.170000,28.549999,25.205288,1707800
2016-06-24,28.000000,28.190001,27.500000,27.980000,24.702068,1703500
2016-06-27,27.860001,28.150000,27.670000,28.020000,24.737383,2423400
2016-06-28,28.440001,28.940001,28.280001,28.660000,25.302404,1738100
2016-06-29,29.000000,29.469999,28.690001,29.000000,25.602571,2868500
2016-06-30,28.670000,29.260000,28.670000,29.080000,25.673199,3636000
2016-07-01,29.219999,29.350000,28.840000,29.040001,25.637884,1400200
2016-07-04,29.059999,29.379999,28.910000,29.059999,25.655540,439600
2016-07-05,28.910000,29.100000,28.629999,28.830000,25.452488,879900
2016-07-06,29.080000,29.230000,28.840000,29.090000,25.682028,1065200
2016-07-07,29.280001,29.280001,28.379999,28.389999,25.064034,1259800
2016-07-08,28.500000,29.639999,28.440001,29.420000,25.973364,1474100
2016-07-11,29.500000,30.150000,29.440001,30.090000,26.564875,1205800
2016-07-12,30.290001,30.330000,29.799999,29.799999,26.308847,2143100
2016-07-13,29.600000,30.180000,29.600000,30.070000,26.547218,848900
2016-07-14,30.440001,30.580000,29.820000,30.250000,26.706131,2609000
2016-07-15,30.200001,30.280001,29.120001,29.299999,25.867424,1224000
2016-07-18,29.150000,29.650000,29.120001,29.590000,26.123451,707600
2016-07-19,29.590000,29.990000,29.520000,29.840000,26.344162,2081300
2016-07-20,30.040001,30.090000,29.559999,29.980000,26.467760,821900
2016-07-21,29.900000,30.299999,29.750000,30.110001,26.582531,1220700
2016-07-22,30.320000,31.490000,30.059999,31.490000,27.800861,3673300
2016-07-25,31.480000,31.490000,31.010000,31.430000,27.747892,2333900
2016-07-26,31.430000,31.520000,30.830000,30.840000,27.227011,2754700
2016-07-27,30.840000,31.070000,30.590000,30.750000,27.147554,1509500
2016-07-28,30.940001,30.950001,30.500000,30.850000,27.235840,1438000
2016-07-29,30.510000,30.820000,30.000000,30.799999,27.191696,1539400
2016-08-01,30.799999,30.799999,29.559999,29.799999,26.308847,1372400
2016-08-02,29.330000,29.530001,28.459999,28.820000,25.443657,3048600
2016-08-03,28.559999,29.129999,28.170000,29.059999,25.655540,1038200
2016-08-04,28.900000,29.620001,28.840000,29.510000,26.052824,1091900
2016-08-05,29.830000,30.020000,29.500000,30.020000,26.503075,1271100
2016-08-08,29.959999,29.959999,28.750000,29.160000,25.743828,1083900
2016-08-09,29.330000,29.410000,28.980000,29.049999,25.646713,630900
2016-08-10,29.000000,29.360001,29.000000,29.180000,25.761484,1011800
2016-08-11,29.030001,30.000000,28.850000,29.950001,26.441277,1308400
2016-08-12,29.809999,30.000000,29.030001,29.459999,26.008678,921100
2016-08-15,29.459999,30.370001,29.090000,30.360001,26.803246,2373900
2016-08-16,30.070000,30.930000,29.809999,29.940001,26.432449,1719100
2016-08-17,29.690001,30.129999,29.280001,30.040001,26.520733,1298100
2016-08-18,30.040001,30.320000,29.639999,29.879999,26.379477,1026000
2016-08-19,29.620001,29.940001,29.309999,29.309999,25.876253,1105600
2016-08-22,29.400000,29.610001,29.049999,29.190001,25.770311,1080300
2016-08-23,29.180000,29.580000,29.040001,29.090000,25.682028,1166100
2016-08-24,28.750000,29.209999,28.620001,28.980000,25.584915,2137900
2016-08-25,29.000000,29.209999,28.709999,28.900000,25.514286,2127300
2016-08-26,28.900000,29.299999,28.610001,28.910000,25.523115,2077300
2016-08-29,28.639999,29.709999,28.639999,29.500000,26.043995,2137900
2016-08-30,29.520000,29.540001,28.809999,29.100000,25.690857,1386000
2016-08-31,29.600000,30.110001,29.200001,29.389999,25.946882,2544700
2016-09-01,29.510000,29.660000,28.910000,29.170000,25.752655,1335200
2016-09-02,29.320000,31.120001,29.209999,31.120001,27.474209,2151600
2016-09-05,31.260000,32.060001,30.840000,31.150000,27.500692,854300
2016-09-06,31.420000,31.559999,30.840000,31.190001,27.536007,704700
2016-09-08,31.190001,31.459999,30.809999,31.070000,27.430063,1181800
2016-09-09,30.540001,30.680000,29.270000,29.450001,25.999853,1067700
2016-09-12,29.150000,29.600000,29.000000,29.000000,25.602571,2231100
2016-09-13,28.559999,29.120001,28.290001,28.430000,25.099348,1365800
2016-09-14,28.290001,29.250000,28.290001,29.219999,25.796797,1377000
2016-09-15,29.190001,29.799999,29.100000,29.650000,26.176422,864600
2016-09-16,29.459999,29.549999,28.860001,29.200001,25.779142,2174900
2016-09-19,29.350000,29.750000,29.230000,29.500000,26.043995,908600
2016-09-20,29.510000,29.980000,29.410000,29.660000,26.185251,817900
2016-09-21,29.889999,30.660000,29.709999,30.629999,27.041613,1035400
2016-09-22,30.760000,31.090000,30.540001,31.000000,27.368265,821600
2016-09-23,30.889999,31.150000,30.309999,30.639999,27.050440,1233300
2016-09-26,30.280001,30.410000,29.860001,30.040001,26.520733,955200
2016-09-27,30.379999,30.450001,29.629999,29.850000,26.352993,1230600
2016-09-28,29.940001,31.059999,29.850000,30.850000,27.235840,1283200
2016-09-29,30.629999,31.040001,30.280001,30.510000,26.935671,1732900
2016-09-30,30.510000,30.750000,30.020000,30.190001,26.653162,1362700
2016-10-03,30.090000,30.950001,30.000000,30.799999,27.191696,1163900
2016-10-04,30.889999,30.990000,30.100000,30.500000,26.926844,1079300
2016-10-05,30.620001,31.100000,30.450001,30.900000,27.279980,1048400
2016-10-06,30.900000,30.900000,30.080000,30.750000,27.147554,1160100
2016-10-07,30.750000,30.900000,30.240000,30.650000,27.059271,1444600
2016-10-10,30.980000,31.120001,30.719999,30.980000,27.350607,583200
2016-10-11,30.940001,30.969999,30.480000,30.889999,27.271152,1067000
2016-10-13,30.969999,31.450001,30.740000,31.049999,27.412407,1894000
2016-10-14,31.280001,31.490000,30.260000,30.500000,26.926844,1988800
2016-10-17,30.500000,31.590000,30.260000,31.480000,27.792032,1510700
2016-10-18,31.500000,31.639999,31.100000,31.639999,27.933289,1306200
2016-10-19,31.320000,32.060001,31.320000,31.990000,28.242285,1162200
2016-10-20,32.000000,32.110001,31.480000,32.110001,28.348227,1081900
2016-10-21,31.950001,32.330002,31.660000,32.150002,28.383543,703200
2016-10-24,32.299999,32.299999,31.610001,31.900000,28.162827,918400
2016-10-25,31.920000,32.380001,31.420000,32.290001,28.507139,836200
2016-10-26,32.130001,33.119999,31.940001,32.590000,28.771994,2619500
2016-10-27,32.889999,33.040001,32.580002,32.750000,28.913250,1690800
2016-10-28,32.750000,33.200001,32.549999,32.869999,29.019186,1620600
2016-10-31,32.880001,33.820000,32.869999,33.700001,29.751953,1690200
2016-11-01,34.000000,34.000000,32.700001,32.750000,28.913250,1414300
2016-11-03,32.959999,33.040001,32.119999,32.230000,28.454166,1918400
